"MaTinh","TenTinh","MaQuanHuyen","TenQuanHuyen","MaPhuongXa","TenPhuongXa","LoaiHinh","LoaiDoThi"
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00004","Phường Ba Đình","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00008","Phường Ngọc Hà","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00025","Phường Giảng Võ","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00070","Phường Hoàn Kiếm","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00082","Phường Cửa Nam","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00091","Phường Phú Thượng","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00097","Phường Hồng Hà","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00103","Phường Tây Hồ","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00118","Phường Bồ Đề","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00127","Phường Việt Hưng","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00136","Phường Phúc Lợi","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00145","Phường Long Biên","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00160","Phường Nghĩa Đô","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00166","Phường Cầu Giấy","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00175","Phường Yên Hòa","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00190","Phường Ô Chợ Dừa","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00199","Phường Láng","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00226","Phường Văn Miếu - Quốc Tử Giám","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00229","Phường Kim Liên","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00235","Phường Đống Đa","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00256","Phường Hai Bà Trưng","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00283","Phường Vĩnh Tuy","Phường",""
"01","Thành phố Hà Nội","01","Thành phố Hà Nội","00292","Phường Bạch Mai","Phường",""
